account,balance
ACC_0,4174
ACC_1,4507
ACC_2,1860
ACC_3,2294
ACC_4,2130
ACC_5,2095
ACC_6,4772
ACC_7,4092
ACC_8,2638
ACC_9,3169
ACC_10,1466
ACC_11,2238
ACC_12,1330
ACC_13,2482
ACC_14,3135
ACC_15,4444
ACC_16,4171
ACC_17,3919
ACC_18,4735
ACC_19,1130
ACC_20,2685
ACC_21,4380
ACC_22,1769
ACC_23,3391
ACC_24,2515
ACC_25,4485
ACC_26,3853
ACC_27,3433
ACC_28,2215
ACC_29,1955
ACC_30,3324
ACC_31,2184
ACC_32,1459
ACC_33,4385
ACC_34,1021
ACC_35,3300
ACC_36,1747
ACC_37,3904
ACC_38,4632
ACC_39,1474
ACC_40,2082
ACC_41,3558
ACC_42,4753
ACC_43,3047
ACC_44,4547
ACC_45,3747
ACC_46,1975
ACC_47,2806
ACC_48,1189
ACC_49,4005
